,listPrice,sqft,stories,beds,baths,baths_full,baths_full_calc,garage,year_built,house_age,baths_per_bedroom,type_condo_townhome_rowhome_coop,type_condos,type_multi_family,type_single_family,type_townhomes
0,499000.0,2040.0,2.0,3.0,3.0,2.0,2.0,2.0,2021.0,5.0,1.0,0,0,0,1,0
1,494500.0,3674.0,2.0,6.0,4.0,3.0,3.0,2.0,2025.0,1.0,0.6666666666666666,0,0,0,1,0
2,229000.0,1650.0,2.0,3.0,3.0,2.0,2.0,2.0,2020.0,6.0,1.0,0,0,0,1,0
3,260000.0,1741.0,1.0,3.0,2.0,2.0,2.0,2.0,2005.0,21.0,0.6666666666666666,0,0,0,1,0
4,334990.0,2255.0,2.0,4.0,4.0,3.0,3.0,2.0,2025.0,1.0,1.0,0,0,0,1,0
7,344699.0,2280.0,2.0,4.0,3.0,2.0,2.0,2.0,2023.0,3.0,0.75,0,0,0,1,0
8,584900.0,2591.0,1.0,4.0,3.0,3.0,3.0,2.0,2021.0,5.0,0.75,0,0,0,1,0
9,749000.0,2050.0,2.0,4.0,3.0,3.0,3.0,2.0,2010.0,16.0,0.75,0,0,0,1,0
10,422950.0,2107.0,1.0,4.0,3.0,3.0,3.0,2.0,2026.0,0.0,0.75,0,0,0,1,0
11,285190.0,1952.0,2.0,4.0,3.0,2.0,2.0,2.0,2026.0,0.0,0.75,0,0,0,1,0
12,375000.0,1472.0,1.0,3.0,2.0,2.0,2.0,2.0,2023.0,3.0,0.6666666666666666,0,0,0,1,0
13,298990.0,2190.0,2.0,4.0,3.0,2.0,2.0,2.0,2022.0,4.0,0.75,0,0,0,1,0
14,595000.0,2890.0,2.0,4.0,4.0,3.0,3.0,2.0,2023.0,3.0,1.0,0,0,0,1,0
15,269999.0,1850.0,1.0,4.0,2.0,2.0,2.0,2.0,2023.0,3.0,0.5,0,0,0,1,0
16,310000.0,1976.0,1.0,4.0,2.0,2.0,2.0,2.0,1980.0,46.0,0.5,0,0,0,1,0
17,329990.0,2012.0,1.0,4.0,3.0,3.0,3.0,2.0,2026.0,0.0,0.75,0,0,0,1,0
19,268000.0,1251.0,2.0,4.0,3.0,3.0,3.0,2.0,2025.0,1.0,0.75,0,0,0,0,1
20,197000.0,1268.0,1.0,3.0,2.0,2.0,2.0,1.0,1987.0,39.0,0.6666666666666666,0,0,0,1,0
